a₀,r,σ,wᵈ,ρ,cor
0.125,0.0,0.1,0.2,0.4,0.5163886745205268
0.125,0.0,0.1,0.2,0.6,0.7190763127170655
0.125,0.0,0.1,0.2,0.8,0.885645430778202
0.125,0.0,0.1,0.8,-0.4,0.36311588853144217
0.125,0.0,0.1,0.8,-0.2,0.7496266144108541
0.125,0.0,0.1,0.8,0.0,0.8776256582876661
0.125,0.0,0.1,0.8,0.2,0.9175658515913372
0.125,0.0,0.1,0.8,0.4,0.9296596508272283
0.125,0.0,0.1,0.8,0.6,0.9467895404414318
0.125,0.0,0.1,0.8,0.8,0.9596221533934594
0.125,0.0,0.4,0.2,-0.4,-0.3826488788592479
0.125,0.0,0.4,0.2,-0.2,-0.16831425976679096
0.125,0.0,0.4,0.2,0.0,0.054154958318853245
0.125,0.0,0.4,0.2,0.2,0.2796914370441653
0.125,0.0,0.4,0.2,0.4,0.5072637295824993
0.125,0.0,0.4,0.2,0.6,0.710697285753067
0.125,0.0,0.4,0.2,0.8,0.8687883201876238
0.125,0.0,0.4,0.8,-0.4,0.09901545950455959
0.125,0.0,0.4,0.8,-0.2,0.3794777251721916
0.125,0.0,0.4,0.8,0.0,0.5320157148854395
0.125,0.0,0.4,0.8,0.2,0.6609253447969827
0.125,0.0,0.4,0.8,0.4,0.7361907167066373
0.125,0.0,0.4,0.8,0.6,0.8139606784965104
0.125,0.0,0.4,0.8,0.8,0.8860942941066495
0.15,0.0,0.1,0.2,-0.4,-0.30577277702191785
0.15,0.0,0.1,0.2,-0.2,-0.0839593689940306
0.15,0.0,0.1,0.2,0.0,0.12361917055560659
0.15,0.0,0.1,0.2,0.2,0.3265140037530179
0.15,0.0,0.1,0.2,0.4,0.5320917620999969
0.15,0.0,0.1,0.2,0.6,0.7254405421511138
0.15,0.0,0.1,0.2,0.8,0.887407641145949
0.15,0.0,0.1,0.8,-0.4,0.6657411007677779
0.15,0.0,0.1,0.8,-0.2,0.8063275173496454
0.15,0.0,0.1,0.8,0.0,0.8561272871814366
0.15,0.0,0.1,0.8,0.2,0.876233997905573
0.15,0.0,0.1,0.8,0.4,0.8983156222646879
0.15,0.0,0.1,0.8,0.6,0.9154057966425835
0.15,0.0,0.1,0.8,0.8,0.9321281760999044
0.15,0.0,0.4,0.2,-0.4,-0.3782654912630219
0.15,0.0,0.4,0.2,-0.2,-0.15983216375349502
0.15,0.0,0.4,0.2,0.0,0.06580273709816874
0.15,0.0,0.4,0.2,0.2,0.29436413714212945
0.15,0.0,0.4,0.2,0.4,0.5171762419163355
0.15,0.0,0.4,0.2,0.6,0.7115947542956074
0.15,0.0,0.4,0.2,0.8,0.8658764801500243
0.15,0.0,0.4,0.8,-0.4,0.16532487712877106
0.15,0.0,0.4,0.8,-0.2,0.36106906297494884
0.15,0.0,0.4,0.8,0.0,0.5059689938953614
0.15,0.0,0.4,0.8,0.2,0.6041929699485298
0.15,0.0,0.4,0.8,0.4,0.6894399300498686
0.15,0.0,0.4,0.8,0.6,0.7800488351990751
0.15,0.0,0.4,0.8,0.8,0.8745725181910338
0.175,0.0,0.1,0.2,-0.4,-0.29499676630623484
0.175,0.0,0.1,0.2,-0.2,-0.0915981832789498
0.175,0.0,0.1,0.2,0.0,0.13304059121253778
0.175,0.0,0.1,0.2,0.2,0.342202577949144
0.175,0.0,0.1,0.2,0.4,0.5359551734764817
0.175,0.0,0.1,0.2,0.6,0.7298458731134992
0.175,0.0,0.1,0.2,0.8,0.8896796096409946
0.175,0.0,0.1,0.8,-0.4,0.6707573315054125
0.175,0.0,0.1,0.8,-0.2,0.7035576108382512
0.175,0.0,0.1,0.8,0.0,0.7477442178297485
0.175,0.0,0.1,0.8,0.2,0.7772945539734217
0.175,0.0,0.1,0.8,0.4,0.8142431582934256
0.175,0.0,0.1,0.8,0.6,0.85641737991611
0.175,0.0,0.1,0.8,0.8,0.9098321425731637
0.175,0.0,0.4,0.2,-0.4,-0.37040870714391105
0.175,0.0,0.4,0.2,-0.2,-0.15086557721353888
0.175,0.0,0.4,0.2,0.0,0.0739620018485203
0.175,0.0,0.4,0.2,0.2,0.3047205764678728
0.175,0.0,0.4,0.2,0.4,0.5246176583833642
0.175,0.0,0.4,0.2,0.6,0.715082622140843
0.175,0.0,0.4,0.2,0.8,0.8641207684809871
0.175,0.0,0.4,0.8,-0.4,0.15333309255021668
0.175,0.0,0.4,0.8,-0.2,0.32737814560780676
0.175,0.0,0.4,0.8,0.0,0.4393583533072775
0.175,0.0,0.4,0.8,0.2,0.5559912100975967
0.175,0.0,0.4,0.8,0.4,0.6501200302687481
0.175,0.0,0.4,0.8,0.6,0.755022751481896
0.175,0.0,0.4,0.8,0.8,0.8624534769903792
0.2,0.0,0.1,0.2,-0.4,-0.28930783909662444
0.2,0.0,0.1,0.2,-0.2,-0.07522276097171626
0.2,0.0,0.1,0.2,0.0,0.1359371517814609
0.2,0.0,0.1,0.2,0.2,0.33741245108938445
0.2,0.0,0.1,0.2,0.4,0.5479151605139252
0.2,0.0,0.1,0.2,0.6,0.7379626287247457
0.2,0.0,0.1,0.2,0.8,0.8906324714089532
0.2,0.0,0.1,0.8,-0.4,0.318562581516394
0.2,0.0,0.1,0.8,-0.2,0.41431079545158
0.2,0.0,0.1,0.8,0.0,0.501405149268879
0.2,0.0,0.1,0.8,0.2,0.5776696671523857
0.2,0.0,0.1,0.8,0.4,0.6528955945157946
0.2,0.0,0.1,0.8,0.6,0.7531921226585883
0.2,0.0,0.1,0.8,0.8,0.8565281556246556
0.2,0.0,0.4,0.2,-0.4,-0.36582962201038133
0.2,0.0,0.4,0.2,-0.2,-0.14198016181294235
0.2,0.0,0.4,0.2,0.0,0.08548555402366464
0.2,0.0,0.4,0.2,0.2,0.31463613249522115
0.2,0.0,0.4,0.2,0.4,0.5302384940171737
0.2,0.0,0.4,0.2,0.6,0.7146263471759082
0.2,0.0,0.4,0.2,0.8,0.8623700916855146
0.2,0.0,0.4,0.8,-0.4,0.07283513217349709
0.2,0.0,0.4,0.8,-0.2,0.24562075986206663
0.2,0.0,0.4,0.8,0.0,0.37683500019088134
0.2,0.0,0.4,0.8,0.2,0.5025869301994456
0.2,0.0,0.4,0.8,0.4,0.6122456101664671
0.2,0.0,0.4,0.8,0.6,0.7324921655930471
0.2,0.0,0.4,0.8,0.8,0.8489156539128851
0.225,0.0,0.1,0.2,-0.4,-0.2960794904792333
0.225,0.0,0.1,0.2,-0.2,-0.07015786631653835
0.225,0.0,0.1,0.2,0.0,0.11616645038263637
0.225,0.0,0.1,0.2,0.2,0.34248051442839716
0.225,0.0,0.1,0.2,0.4,0.5554199618361465
0.225,0.0,0.1,0.2,0.6,0.741253773261611
0.225,0.0,0.1,0.2,0.8,0.8917451510827007
0.225,0.0,0.1,0.8,-0.4,-0.2366699918667135
0.225,0.0,0.1,0.8,-0.2,-0.03304545524174574
0.225,0.0,0.1,0.8,0.0,0.15760363935668256
0.225,0.0,0.1,0.8,0.2,0.3232154495604569
0.225,0.0,0.1,0.8,0.4,0.4889217323558471
0.225,0.0,0.1,0.8,0.6,0.6542448174809047
0.225,0.0,0.1,0.8,0.8,0.8182479695818387
0.225,0.0,0.4,0.2,-0.4,-0.3587213791003245
